No,Code,Loc,ID,Desc,EC,TA,TW,Q,Coordx,Coordy,Coordz,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH,GT1,GT2,GT3,GT4,GT5,GT6,GT7,GT8,GT9,GT10,GT11,GT12,GT13,GT14,GT15,GT16,GT17,GT18,GT19,GT20,GT21,GT22,GT23,GT24,GT25,GT26,18O,D,RE,Kelompok Data
77,726,Tukapela (Boba-Soa),,,7300,,47.7,,,,,,,,,174,51.5,74.6,30.8,,,403,2070,0,,,,,0.93,,10.8,0.63,0.1,,3.35,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
78,727,Liba,,,430,,34.8,,,,,,,,,42.2,22.6,16.4,5.32,,,3.12,13.8,203,,,,,0.43,,0.25,,,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
79,728,Paidane (Wae Wuta),,,460,,43.4,0.002,,,,,,,,43.4,16.8,28.1,7.11,,,4.61,24.9,192,,,,,0.53,,2.02,,1.02,,,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
80,729,Shokimatawae,,,340,,35.4,0.0143333333,,,,,,,,32.9,13.6,19.3,4.03,,,3.69,8.84,155,,,,,0.49,,0.22,,0.78,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
81,730,Langagedha,,,1130,,57,0.0166666667,,,,,,,,22.9,14.5,167,49.2,,,30.7,120,328,,,,,,,0.13,0.11,0.29,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
82,731,Mbey,,,18200,,76.4,,,,,,,,,487,154,3610,102,,,6390,750,108,,,,,,,1.85,21.3,4.11,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
83,732,Stream in Matakico,,,240,,26.2,,,,,,,,,241,9.02,11.2,3.08,,,3.35,6.14,101,,,,,,,0.24,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
84,733,Wae Ya (spring),,,230,,24.2,,,,,,,,,24.3,9.08,10,2.72,,,3.03,4.35,100,,,,,0.65,,0.38,,3.76,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
85,734,Stream of Keli Tiworiwu,,,410,,25.4,,,,,,,,,41.5,14.6,15.5,2.91,,,3.67,131,47.6,,,,,0.03,,0.18,,6.05,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
86,735,Wae Venu,,,196,,27.8,0.0001666667,,,,,,,,20,5.28,12.8,2.24,,,9,19,59.8,,,,,0.41,,0.12,,1.4,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
87,736,Wae Roe,,,230,,22.8,0.2166666667,,,,,,,,25.5,8.64,10.4,3.29,,,3.39,23,87.9,,,,,,,0.46,,3.58,,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
88,737,Wae Guru,,,600,,25.3,0.0011666667,,,,,,,,73.1,20.7,20.3,4.94,,,4.04,191,94,,,,,0.89,,0.39,,0.81,,,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
